Year,Experience,Employment_Type,Job_Title,Job_Cluster,Salary_USD,Work_Mode,Remote_Ratio,Employee_Country,Company_Country,Company_Size,Cross_Border,Salary_Tier
2020,Mid,Full-time,Data Scientist,Scientist,79833,On-site,0,DE,DE,Large,False,Mid-Low
2020,Senior,Full-time,Machine Learning Scientist,ML/AI,260000,On-site,0,JP,JP,Small,False,Top
2020,Senior,Full-time,Big Data Engineer,Engineer,109024,Hybrid,50,GB,GB,Medium,False,Mid-High
2020,Mid,Full-time,Product Data Analyst,Analyst,20000,On-site,0,HN,HN,Small,False,Low
2020,Senior,Full-time,Machine Learning Engineer,ML/AI,150000,Hybrid,50,US,US,Large,False,Mid-High
2020,Entry,Full-time,Data Analyst,Analyst,72000,Remote,100,US,US,Large,False,Mid-Low
2020,Senior,Full-time,Lead Data Scientist,Scientist,190000,Remote,100,US,US,Small,False,Top
2020,Mid,Full-time,Data Scientist,Scientist,35735,Hybrid,50,HU,HU,Large,False,Low
2020,Mid,Full-time,Business Data Analyst,Analyst,135000,Remote,100,US,US,Large,False,Mid-High
2020,Senior,Full-time,Lead Data Engineer,Engineer,125000,Hybrid,50,NZ,NZ,Small,False,Mid-High
2020,Entry,Full-time,Data Scientist,Scientist,51321,On-site,0,FR,FR,Small,False,Low
2020,Mid,Full-time,Data Scientist,Scientist,40481,On-site,0,IN,IN,Large,False,Low
2020,Entry,Full-time,Data Scientist,Scientist,39916,On-site,0,FR,FR,Medium,False,Low
2020,Mid,Full-time,Lead Data Analyst,Analyst,87000,Remote,100,US,US,Large,False,Mid-Low
2020,Mid,Full-time,Data Analyst,Analyst,85000,Remote,100,US,US,Large,False,Mid-Low
2020,Mid,Full-time,Data Analyst,Analyst,8000,Hybrid,50,PK,PK,Large,False,Low
2020,Entry,Full-time,Data Engineer,Engineer,41689,Remote,100,JP,JP,Small,False,Low
2020,Senior,Full-time,Big Data Engineer,Engineer,114047,Remote,100,PL,GB,Small,True,Mid-High
2020,Entry,Full-time,Data Science Consultant,Other,5707,Hybrid,50,IN,IN,Medium,False,Low
2020,Mid,Full-time,Lead Data Engineer,Engineer,56000,Remote,100,PT,US,Medium,True,Low
2020,Mid,Full-time,Machine Learning Engineer,ML/AI,43331,On-site,0,CN,CN,Medium,False,Low
2020,Mid,Full-time,Product Data Analyst,Analyst,6072,Remote,100,IN,IN,Large,False,Low
2020,Senior,Full-time,Data Engineer,Engineer,47899,Hybrid,50,GR,GR,Large,False,Low
2020,Mid,Full-time,BI Data Analyst,Analyst,98000,On-site,0,US,US,Medium,False,Mid-Low
2020,Mid,Full-time,Lead Data Scientist,Scientist,115000,On-site,0,AE,AE,Large,False,Mid-High
2020,Executive,Full-time,Director of Data Science,Management,325000,Remote,100,US,US,Large,False,Top
2020,Entry,Full-time,Research Scientist,Scientist,42000,Hybrid,50,NL,NL,Large,False,Low
2020,Senior,Full-time,Data Engineer,Engineer,33511,On-site,0,MX,MX,Small,False,Low
